招录机关名称    职位名称    职位编码    缴费人数
盐源县公安局    警务技术（网络安全）    43019002    1
盐源县公安局    执法勤务    43019003    1
布拖县公安局    综合管理（金融财会）    43019004    8
布拖县公安局    警务技术（法医）    43019005    2
雷波县公安局    执法勤务    43019006    46
金阳县公安局    执法勤务    43019007    37
眉山市公安局    执法勤务    43020001    18
眉山市公安局    执法勤务    43020002    23
眉山市公安局    执法勤务    43020003    8
眉山市公安局    警务技术    43020004    37
资阳市公安局    综合管理（金融财会）    43023001    25
资阳市公安局    执法勤务    43023002    10
资阳市县级公安机关    执法勤务    43023003    139
资阳市县级公安机关    警务技术（法医）    43023004    6
泸定县    执法勤务    43218001    1
九龙县    执法勤务    43218002    2
九龙县    警务技术（信息通信、网络安全管理）    43218003    8
九龙县    执法勤务    43218004    8
九龙县    执法勤务（金融财会）    43218005    25
九龙县    执法勤务    43218006    24
道孚县    警务技术（法医）    43218007    2
道孚县    警务技术（信息通信、网络安全管理）    43218008    1
道孚县    执法勤务    43218009    0
炉霍县    警务技术（法医）    43218010    0
炉霍县    执法勤务    43218011    39
甘孜县    执法勤务    43218012    14
德格县    执法勤务    43218013    7
石渠县    警务技术（法医）    43218014    2
石渠县    执法勤务    43218015    47
白玉县    执法勤务    43218016    87
白玉县    执法勤务    43218017    48
新龙县    执法勤务    43218018    13
新龙县    执法勤务    43218019    1
新龙县    执法勤务    43218020    4
新龙县    执法勤务（金融财会）    43218021    14
新龙县    警务技术（信息通信、网络安全管理）    43218022    6
色达县    执法勤务（少数民族语言翻译）    43218023    2
雅江县    执法勤务    43218024    4
雅江县    警务技术（信息通信、网络安全管理）    43218025    1
理塘县    执法勤务    43218026    51
理塘县    执法勤务    43218027    50
巴塘县    警务技术（法医）    43218028    0
乡城县    执法勤务    43218029    12
乡城县    警务技术（信息通信、网络安全管理）    43218030    1
得荣县    执法勤务    43218031    17
得荣县    警务技术（信息通信、网络安全管理）    43218032    0
得荣县    执法勤务（金融财会）    43218033    6

