21010001	12	0
21010002	14	5
21010003	5	1
21010004	28	9
21010005	4	0
21010006	8	0
21010007	5	4
21010008	4	1
21010009	1	0
21010010	20	0
21010011	0	0
21010012	10	0
21010013	8	0
21010014	5	0
21010015	12	6
21010016	54	34
21010017	6	0
21010018	3	0
21010019	12	0
21010020	3	0
21010021	3	0
21010022	0	0
21010023	2	0
21010024	3	0
21010025	16	0
21010026	6	4
21010027	4	2
21010028	5	1
21010029	1	0
21010030	9	0
21010031	2	0
21010032	3	0
21010033	2	0
21010034	2	0
21010035	11	0
21010036	8	4
21010037	0	0
21010038	5	4
21010039	0	0
21010040	0	0
21010041	1	0
21010042	1	0
21010043	2	0
21010044	4	0
21010045	6	0
21010046	1	0
21010047	5	0
21010048	6	0
21010049	3	0
21010050	1	0
21010051	0	0
21010052	1	0
21010053	0	0
21010054	2	1
21010055	1	1
21010056	2	0
21010057	1	0
21010058	7	0
21011001	1	0
21011002	4	0
21011003	7	0
21011004	8	0
21011005	4	0
21011006	0	0
21011007	3	0
21011008	4	0
21011009	4	0
21012001	3	3
21012002	6	3
21012003	1	1
21012004	2	2
21012005	5	4
21012006	3	0
21012007	6	1
21012008	2	2
21012009	2	1
21012010	6	2
21012011	4	3
21012012	2	1
21012013	9	5
21012014	11	8
21012015	0	0
21012016	7	1
21012017	11	6
21013001	0	0
21013002	0	0
21013003	3	0
21013004	3	0
21013005	8	0
21013006	0	0
21013007	0	0
21013008	2	0
21013009	11	0
21013010	5	0
21013011	4	0
21013012	0	0
21013013	1	0
21013014	2	0
21013015	1	0
21013016	0	0
21013017	6	0
21013018	2	0
21013019	0	0
21013020	1	0
21013021	3	0
21013022	2	0
21013023	2	0
21013024	1	0
21013025	4	0
21013026	4	0
21013027	5	0
21013028	4	0
21013029	1	0
21013030	2	0
21013031	2	0
21013032	0	0
21013033	3	0
21013034	3	0
21013035	1	0
21013036	1	0
21013037	0	0
21013038	0	0
21013039	6	0
21013040	53	0
21013041	23	0
21013042	7	0
21013043	10	0
21013044	0	0
21013045	0	0
21013046	0	0
21013047	2	0
21014001	0	0
21014002	16	3
21014003	2	0
21014004	22	1
21014005	12	2
21014006	0	0
21014007	3	0
21014008	0	0
21014009	2	0
21014010	4	0
21014011	1	0
